e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,e_vATP,CO2,GLCo,ETOH,GLY,F26BP,P,G6P,TRIO,NAD,ACE,P2G,BPG,GLCi,F6P,PEP,PYR,F16P,P3G,NADH,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH,v_vATP
1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,50,50,0.15,0.02,6.281843541,1.04316915,0.813611433,1.546052872,0.171918519,0.086102131,0.000517841,0.099610124,0.114730461,0.218683291,8.477427384,0.648359046,0.620999714,0.043947128,88.09465331,77.29465331,6,2.4,77.29465331,77.29465331,136.1940251,136.1940251,136.1940251,136.1940251,136.1940251,136.1940251,3.679056301,88.09465331,128.8359125,18.39528151,83.88251841
1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,50,50,0.15,0.02,3.529502563,1.031225515,752.5409349,1.550405927,0.169148651,3473.276716,4.570533493,0.332782029,0.140110006,15010.87888,13523083.39,1838195.516,21075.723,0.039594073,75.21218537,64.41218541,6,2.4,64.41218552,61.99882374,96.49775423,96.49775204,96.48570793,96.48369625,96.47460716,87.097,3.619781139,75.21218529,79.85744114,27.49966464,30.46886891
1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,50,50,0.15,0.02,6.815692159,1.316916849,0.818888737,1.560559891,0.266562935,0.055926919,0.000538094,0.085843289,0.162367161,0.103465433,9.478612034,0.659260234,0.433464356,0.029440109,88.99013502,78.19013502,6,2.4,78.19013502,78.19013502,142.119153,142.119153,142.119153,142.119153,142.119153,142.119153,2.852223405,88.99013502,136.4147062,14.26111702,97.24914238
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,50,50,0.15,0.02,6.058843991,0.941714978,0.762546822,1.53707364,0.186528614,0.041304651,0.000272048,0.106495016,0.097131371,0.064858908,8.125753951,0.581146516,0.33128628,0.05292636,87.65336118,76.85336118,6,2.4,76.85336118,76.85336118,133.7481606,133.7481606,133.7481606,133.7481606,133.7481606,133.7481606,3.991712342,87.65336118,125.764736,19.95856171,78.62274956
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,50,50,0.15,0.02,7.038802078,1.648204325,0.98431206,1.523114523,0.115392392,0.064366736,0.000718681,0.08147126,0.221435188,0.127757955,9.981346208,0.90345928,0.490855951,0.066885477,89.27823545,78.47823545,6,2.4,78.47823545,78.47823545,144.6094849,144.6094849,144.6094849,144.6094849,144.6094849,144.6094849,2.469397196,89.27823545,139.6706905,12.34698598,103.1849102
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,50,50,0.15,0.02,7.927635946,8.141375093,588.0889436,1.557147066,0.228064129,95.74052976,3.521332239,0.076500503,1.389057783,346.3411069,7.699497532,1368390.456,609.6420282,0.032852934,89.6080023,78.8080023,6,2.4,78.8080023,77.44262963,130.4822957,130.4822956,130.4821939,130.482178,130.4821207,130.4821206,4.880572351,89.6080023,120.7209759,24.40303675,64.62612159
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,50,50,0.15,0.02,6.308881638,1.033245614,0.777523537,1.545559767,0.170114452,0.044843711,0.000329574,0.098758692,0.112812815,0.073616842,8.523152464,0.60190764,0.356484038,0.044440233,88.14952688,77.34952688,6,2.4,77.34952688,77.34952688,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,3.640449265,88.14952688,129.2159089,18.20224632,84.53276406
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,50,0.15,0.02,6.158611877,0.925753776,0.74323628,1.545340769,0.167641882,0.041047828,0.000282665,0.098308227,0.097430885,0.065673556,7.949682473,0.551083918,0.328472082,0.044659231,85.98944367,75.18944367,6,2.4,75.18944367,75.18944367,132.441206,132.441206,132.441206,132.441206,132.441206,132.441206,3.587536276,85.98944367,125.2661334,17.93768138,80.95337948
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,25,0.15,0.02,6.76914786,1.283075973,0.814106599,1.55929513,0.136863408,0.05455119,0.000510258,0.086895182,0.156413251,0.099610766,9.380352776,0.652591273,0.424027459,0.03070487,88.92108899,78.12108899,6,2.4,78.12108899,78.12108899,141.5977934,141.5977934,141.5977934,141.5977934,141.5977934,141.5977934,2.928876926,88.92108899,135.7400395,14.64438463,96.03790102
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.075,0.02,6.272516425,1.016643029,0.771857744,1.546228737,0.17257668,0.044276858,0.000320015,0.09981578,0.109932353,0.072182243,8.462899324,0.594487213,0.352473608,0.043771263,88.08140908,77.28140908,6,2.4,77.28140908,77.28140908,136.0971134,136.0971134,136.0971134,136.0971134,136.0971134,136.0971134,3.693140959,88.08140908,128.7108315,18.4657048,83.65884474
