e_v2,e_v3,e_v13,e_v4,e_v5,e_v6,e_v7,e_v8,e_v9,e_v10,e_v11,e_v12,e_v14,e_v15,e_v16,e_v17,e_v18,e_v19,e_v21,e_v1,e_v20,e_v22,A,J,P,Q,D,B,O,F,H,M,E,R,I,C,N,G,L,v_v2,v_v3,v_v13,v_v4,v_v5,v_v6,v_v7,v_v8,v_v9,v_v10,v_v11,v_v12,v_v14,v_v15,v_v16,v_v17,v_v18,v_v19,v_v21
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3252580129188294,1.959563108073151,0.10212070174983215,0.262049148432118,1.5874785387536245,0.0199704275291376,2.1063774154032067,3.260563725754236,3.665073594919008,1.6116377249399898,0.08444603372946928,0.5164351227274291,0.02174561248488396,3.571904155372672,0.8133071987408881,0.8133071987459407,2.7585969566269006,2.7585969566277497,1.5189342843578462,1.518934284359356,0.1017988487827009,1.1378638234877885,1.1378638234880496,1.1378638234883438,1.1378638234878709,0.04842044460582264,0.05337840417680603,0.05337840417674924,0.053378404176749494,0.05337840417674941,0.07135284276993906,-0.017974438593190086
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.324925138288779,1.959342075442191,0.1021179417459217,0.26198903931462714,1.581086876271559,0.019969332588320062,2.1058638044175946,3.2601656258396394,3.6658420517294905,1.6113380805414477,0.0844429650290695,0.5162135941099159,0.02174403559833495,3.572016214021328,0.8133010016479378,0.8133010016479376,2.7587152123733896,2.758715212373389,1.5188864918471647,1.5188864918471645,0.10178390776511381,1.1380448127611118,1.1380448127611116,1.138044812761112,1.1380448127611116,0.04841248368483087,0.05337142408028291,0.05337142408028285,0.05337142408028287,0.0533714240802828,0.07134603405604158,-0.017974609975758643
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3213590188302038,1.9569723158680703,0.10208833954728404,0.2613449649466729,1.5726308429429283,0.019957589244958156,2.1003613636392533,3.255897513899896,3.626366248089607,1.6081269764724744,0.0844100524003274,0.5138430264839332,0.021727123344254844,3.5732179126043286,0.81323447200222,0.8132344720022197,2.7599834406021095,2.759983440602109,1.5183732020324332,1.518373202032434,0.10162367423782914,1.1399865643318454,1.1399865643318463,1.1399865643318459,1.1399865643318456,0.04832711674650576,0.05329655749132337,0.053296557491323344,0.05329655749132344,0.05329655749132338,0.07127300562256901,-0.01797644813124561
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3262949069903223,1.9602514327274674,0.10211557039393669,0.2619374023998073,1.5851693073234017,0.01996839183689637,2.107977289981898,3.261803465250649,3.6609439926798006,1.6125710075494946,0.0844403284558708,0.5173230083846142,0.021742680768735426,3.5715552188570237,0.8133264883005934,0.8133264883005934,2.7582287305564295,2.7582287305564295,1.5190830258181398,1.5190830258181398,0.10225512731003074,1.1368905774282592,1.136890577428259,1.1368905774282594,1.1368905774282594,0.04888970044597789,0.05336542686405283,0.05336542686405286,0.05336542686405285,0.05336542686405278,0.07134018408909233,-0.017974757225039495
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3263334664904884,1.960277024400259,0.10229336904447979,0.2619678250850933,1.5851959137415899,0.020038938851319986,2.1080367850992983,3.261849558458742,3.6609915799874244,1.6126057110700254,0.08463802806986531,0.5173331853772152,0.02184427962121601,3.571542246359677,0.8133272052163881,0.8133272052163879,2.7582150411432877,2.7582150411432886,1.5190885533281242,1.5190885533281238,0.10222468917381201,1.1369017986413523,1.1369017986413523,1.1369017986413523,1.1369017986413523,0.04840967380072918,0.0538150153730829,0.053815015373082906,0.05381501537308286,0.053815015373082996,0.07177873236024816,-0.01796371698716528
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3267514562434377,1.9605544164545927,0.10214562837526202,0.2622976777846074,1.5854843111708323,0.01998031660463133,2.10868171851552,3.2623491703459258,3.6615073870386565,1.6129818880566802,0.08447374864604652,0.517443499903434,0.021712502282099404,3.5714016393491312,0.8133349747661802,0.8133349747661884,2.7580666645829446,2.758066664582945,1.5191484546890917,1.519148454689092,0.10189479164077021,1.137023418253085,1.1370234182530843,1.137023418253085,1.1370234182530845,0.048453349141341764,0.053441442499428254,0.0534414424994282,0.05344144249942818,0.05344144249942825,0.07141433327672086,-0.01797289077729266
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3267629280021251,1.9605620288581938,0.10214157481415916,0.26230673234506835,1.5854922257571342,0.01994225225265302,2.108699418733338,3.262362881112107,3.6615215422315757,1.6129922119135036,0.08446924161235889,0.5174465273558277,0.021725833081658024,3.5713977808046145,0.813335187948311,0.8133351879531986,2.7580625928517573,2.758062592852182,1.5191500982330515,1.5191500982337998,0.10188573901658037,1.1370267556029108,1.1370267556029305,1.1370267556030464,1.1370267556027516,0.048454547604077934,0.053431191412449903,0.05343119141242539,0.053431191412425555,0.053431191412425465,0.07140433389462575,-0.017973142482200517
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3267770812977147,1.960571420622444,0.10213657381489377,0.2623179035491457,1.5855019903504521,0.01996247326034069,2.1087212563949644,3.262379796651456,3.661539006132375,1.613004948957788,0.08439244826320808,0.5174502624686448,0.021742287082572014,3.5713930203522852,0.8133354509683391,0.8133354509685157,2.7580575693837837,2.758057569383797,1.5191521259255951,1.5191521259256253,0.10187457043364108,1.1370308730245604,1.1370308730245657,1.1370308730245642,1.137030873024556,0.0484560261937035,0.05341854423993622,0.05341854423993559,0.053418544239935514,0.053418544239935646,0.07139199725825551,-0.017973453018319988
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3267586683162313,1.9605592022293985,0.1018635096587942,0.2623033702014845,1.5854892869213337,0.019936168188454485,2.108692846300053,3.26235779003229,3.6615162861422283,1.61298837846781,0.08425529891482994,0.5174454032050648,0.021720882497251084,3.5713992135542254,0.813335108792781,0.8133351087928234,2.7580641047614054,2.7580641047613996,1.5191494879566672,1.5191494879566614,0.10188910042120758,1.1370255163835183,1.137025516383518,1.1370255163835103,1.137025516383512,0.048454102593077385,0.05343499782813007,0.053434997828130666,0.0534349978281306,0.05343499782813058,0.07142540715941273,-0.017990409331282046
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3267931460525182,1.9605820807190135,0.10220195629038499,0.26233058363849343,1.5855130736416514,0.0199854363685669,2.1087460433179435,3.262398996613981,3.6615588284872786,1.6130194061568426,0.08451217281473732,0.5174545020098125,0.02176097277979642,3.5713876170236123,0.813335749500635,0.813335749500635,2.7580518675229766,2.7580518675229766,1.5191544274208093,1.5191544274208097,0.10186189363179543,1.1370355464703712,1.137035546470372,1.137035546470371,1.1370355464703712,0.04845770445194373,0.053404189179851604,0.05340418917985163,0.05340418917985161,0.05340418917985169,0.07155327623993626,-0.018149087060084654
