e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,e_vATP,Glyc,Trh,CO2,SUCC,GLCo,ETOH,GLY,SUM_P,F26BP,ATP,ADP,AMP,GLCi,G6P,F6P,F16P,TRIO,BPG,P3G,P2G,PEP,PYR,ACE,P,NAD,NADH,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH,v_vATP
1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.509021423838447,1.29172079736377,0.29925777879778237,0.0985595301294033,0.975652647072658,0.10231550807395724,0.6022278833139444,0.7777349584056715,0.00032988324863097263,0.356662949168374,0.044868071882409634,0.07366870808933378,8.52681510261118,0.1701292468567923,6.309763645040665,1.5455610695898698,0.04443893041013269,88.16237217082532,77.36237217082534,6.0,2.4,77.36237217082535,77.3623721708253,136.52091492797393,136.52091492797396,136.5209149279739,136.5209149279739,136.52091492797385,136.5209149279739,3.6407658827353546,88.16237217082534,129.23938316250315,18.20382941367676,84.55402198335568
1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.5082171531582698,1.292204755187344,0.299578091654386,0.09881347140574281,1.0490856370836668,0.11570026254749069,0.6383544028039163,0.7774654127455739,0.0003294888817229208,0.35643486515911615,0.04483701595977434,0.07360258996053932,8.522145806911233,0.1701103831562474,6.308639061503883,1.5455594088318871,0.04444059116811279,88.14599442752272,77.34599442752268,6.0,2.4,77.3459944275227,77.34599442752277,136.49017785732696,136.49017785732684,136.4901778573269,136.49017785732698,136.49017785732696,136.49017785732696,3.640362199543694,88.14599442752271,129.20945345823958,18.201810997718464,84.5269180614337
1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.508525870354545,1.292019012628498,0.2994551170169566,0.09871598658205108,1.0208966400340411,0.11056184280642836,0.573938329772588,0.7775688577217187,0.00032964018132533465,0.3565223833459318,0.04484893216288599,0.07362795748739483,8.523937466144227,0.17011762362685012,6.309070753337588,1.5455600462912558,0.044439953708740765,88.15228093477613,77.352280934777,6.0,2.4,77.35228093479077,77.35228093477367,136.5019761414955,136.5019761412043,136.50197614145668,136.50197614144452,136.50197614119338,136.50197614014115,3.6405171456145924,88.15228093477646,129.2209418499649,18.202585728068136,84.53732183094817
1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.4646979746217896,1.3180952793560141,0.3172067460221959,0.10071351653353854,1.0575283577360082,0.11749032496852918,0.7146301656352947,0.862562254443212,0.00031364023260704746,0.3497197875296157,0.04388919760458049,0.07121645616860946,8.420022518111441,0.1741887796143782,6.247491228599594,1.546658927009962,0.043341072990035576,88.02364005861104,77.22364005861104,6.0,2.4,77.22364005861104,77.22364005861104,135.80908069848354,135.80908069848354,135.8090806984836,135.80908069848357,135.80908069848363,135.80908069848354,3.727639883747693,88.02364005861102,128.35380093098823,18.638199418738484,83.06032174475432
1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.547924005400688,1.268076777940933,0.2839992166583787,0.09706956913523437,1.0165291706793433,0.10955201488199878,0.5204551335559527,0.7099798934088755,0.0003450382141560236,0.3628847742348187,0.045750278759566956,0.07592641321990105,8.617785461441915,0.16639563368032406,6.363924788742309,1.5445095352923248,0.04549046470767437,88.25858541631412,77.45858541631415,6.0,2.4,77.4585854163141,77.45858541631411,137.11283802883364,137.11283802883378,137.1128380288336,137.11283802883358,137.1128380288337,137.11283802883358,3.5608665607589347,88.25858541631415,129.99110490731556,17.80433280379466,85.8650389820032
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.5070771743962377,1.2928903814542347,0.30003244414952723,0.09881607303994147,1.033882782894362,0.1129362624886383,0.6049178825233456,0.7799111869685964,0.0003419566280731997,0.35627612111939655,0.04481431654862444,0.07354243229542488,8.520030503864708,0.17023749185058298,6.3070447302467105,1.545593729345532,0.044406270654463384,88.14582666779395,77.34582666779394,6.0,2.4,77.34582666779393,77.34582666779393,136.47624170757553,136.47624170757553,136.47624170757544,136.4762417075755,136.47624170757555,136.4762417075755,3.643082325602476,88.14582666779394,129.19007705637065,18.215411628012383,84.48850077715322
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.5094673427122025,1.2914523871599137,0.2990802701278834,0.0987117152142084,1.032727373133727,0.11271237209579005,0.5994557666341043,0.7755735118825006,0.00031946875213661834,0.3566547000794665,0.044867841336721934,0.07367794907940481,8.525712764974868,0.17001356260258993,6.3103870725843185,1.5455318823414306,0.044468117658572434,88.15255640256862,77.3525564025686,6.0,2.4,77.35255640256891,77.35255640256862,136.51366160666,136.51366160666072,136.51366160665992,136.51366160665995,136.51366160665884,136.51366160665214,3.6382902396954244,88.15255640256858,129.23708112726916,18.191451198477136,84.56904944940123
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.5073134687840777,1.2927482977422156,0.2999382334737064,0.09880574383997379,1.033767748758823,0.11291397888082245,0.6043747580559292,0.7794809177781238,0.0003397243878793968,0.3705482234560686,0.04481960141401704,0.07355580829333094,8.520592053164739,0.17021535897524587,6.307375235310371,1.5455876237150357,0.04441237628496865,88.14649272350353,77.34649272350356,6.0,2.4,77.34649272350353,77.34649272350356,136.47994203665579,136.47994203665561,136.47994203665584,136.47994203665576,136.47994203665576,136.47994203665576,3.6426086820702612,88.14649272350353,129.1947246725153,18.213043410351307,84.49646389802342
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.509266871438903,1.2915730635691425,0.29916006499195413,0.09872045746772973,1.0328235846810756,0.11273102177603635,0.5999112003179918,0.7759360865081041,0.0003213470863854078,0.3451023208526961,0.0448633462935305,0.07366656441945389,8.525235998357003,0.17003234858335875,6.3101068064469485,1.5455370771004924,0.044462922899504216,88.15199260153265,77.35199260153264,6.0,2.4,77.35199260153264,77.35199260153263,136.5105239046459,136.51052390464596,136.51052390464594,136.51052390464596,136.51052390464596,136.5105239046459,3.638692259683877,88.15199260153267,129.23313938527824,18.193461298419386,84.56229356749104
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.505289921807678,1.2939645023996393,0.30074557579268224,0.09889428721435226,1.0347586390723906,0.11310587611102067,0.6090483721071895,0.7831759143012179,0.0003589053768311785,0.3971877984613012,0.051190603833299674,0.07344141168882985,8.515784580845377,0.17040486204459943,6.304544346014995,1.5456398491719001,0.04436015082810268,88.14078351674038,77.34078351674037,6.0,2.4,77.34078351674033,77.34078351674039,136.4482467947086,136.44824679470855,136.44824679470864,136.44824679470864,136.4482467947086,136.44824679470858,3.6466640477544274,88.14078351674037,129.15491869919973,18.23332023877213,84.42827036491876
